same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
No,I had a mix of in-person and virtual/remote work,16 to 20,Library / Research / Writing,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,No,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Other (please write in):",Yes,No,No,No,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Prefer not to say,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,T/bus pass,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not applicable (N/A),Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
No,I had an in-person job or internship,26+,Day Care / Day Camp,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Groceries,Clothes/shoes,Eating out",Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Several days,More than half the days,Several days,Several days,Female,Hispanic or Latino,"Yes, other (please write in)",Other (please write in)
No,I had an in-person job or internship,21 to 25,Other,Neither well nor poorly,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,No,Yes,Yes,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer)","Enroll at a 4 year college/university,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Work part-time",Yes,No,No,Yes,Yes,Yes,No,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Clothes/shoes,Eating out",Most of the time,This does not apply to me,Sometimes,Sometimes,Sometimes,This does not apply to me,Most of the time,Sometimes,Sometimes,Most of the time,Never,Sometimes,Not applicable (N/A),Not at all,Several days,Not at all,Several days,Female,Black or African American (Not Hispanic or Latino),No other language,Only my mother
No,I had a mix of in-person and virtual/remote work,11 to 15,Office Work / Administrative Work,Neither well nor poorly,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Undecided",Yes,No,No,Yes,Yes,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","T/bus pass,Clothes/shoes,Eating out,Entertainment",Most of the time,Sometimes,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Several days,Not at all,Not at all,Not at all,Male,White (Not Hispanic or Latino),"Yes, other (please write in)",Both of my parents
Yes,I had an in-person job or internship,11 to 15,Individual / Group Project Work,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Community and Social Services: (e.g.,  community organizer, youth worker, or program leader)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Medical,School tuition",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),More than half the days,More than half the days,More than half the days,More than half the days,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
Yes,I had an in-person job or internship,,Arts / Theater / Photography / Media,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,"Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Prefer not to say,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Several days,Not at all,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
No,I had an in-person job or internship,21 to 25,Office Work / Administrative Work,Poorly,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist)",Enroll at a 4 year college/university,Yes,No,No,No,No,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",I don't pay for any household bills,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Asian (Not Hispanic or Latino),"Yes, Chinese",Both of my parents
No,I had an in-person job or internship,21 to 25,Other,Very well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,No,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker)","Enroll at a 4 year college/university,Work full-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,"Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Car,Clothes/shoes,Eating out,Entertainment,Vacation/trip",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Not applicable (N/A),Never,Never,Sometimes,Not at all,Not at all,Not at all,Not at all,Female,Hispanic or Latino,"Yes, other (please write in)",Both of my parents
No,I had a mix of in-person and virtual/remote work,26+,Technology / Computer Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)","Enroll at a 4 year college/university,Work full-time,Work part-time,Take care of children and/or family members",Yes,No,Yes,No,No,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",I don't pay for any household bills,Most of the time,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Most of the time,Most of the time,Most of the time,Never,Most of the time,Sometimes,More than half the days,Several days,More than half the days,Several days,Male,White (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had a mix of in-person and virtual/remote work,26+,Office Work / Administrative Work,Neither well nor poorly,Not sure / maybe,Somewhat supportive,No,No,No,No,No,No,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Never,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Male,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Only my mother
No,I had an in-person job or internship,21 to 25,Tutor,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,"Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Clothes/shoes,Most of the time,,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Never,Most of the time,Sometimes,Not at all,Not at all,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
No,I had an in-person job or internship,21 to 25,Technology / Computer Work,Very well,Very likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Legal: (e.g.,  lawyer, judge, paralegal),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,T/bus pass,Rent/mortgage,Medical,Utilities (gas/electric),Clothes/shoes,Eating out",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Several days,Male,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
No,I had a mix of in-person and virtual/remote work,21 to 25,Arts / Theater / Photography / Media,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer)","Join the military (e.g., army, navy, air force, marines, coast guard),Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Clothes/shoes,Eating out",Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Not at all,Several days,Several days,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
No,I had an in-person job or internship,21 to 25,Health Care / Elder Care,,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)",Work part-time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,,,Both of my parents
Yes,I had an in-person job or internship,21 to 25,Office Work / Administrative Work,Somewhat well,Not sure / maybe,Mostly supportive,No,Yes,Yes,No,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Most of the time,Sometimes,Most of the time,This does not apply to me,This does not apply to me,Sometimes,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Several days,Several days,Not at all,Not at all,Male,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
No,I had an in-person job or internship,26+,Health Care / Elder Care,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Work part-time",No,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Entertainment,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Not at all,Several days,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
No,I had an in-person job or internship,26+,Day Care / Day Camp,Somewhat well,Probably not,N/A - I did not have a job supervisor,,,,,,,Very Good,Yes,Yes,No,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Military: (e.g., army, navy, air force, marines, coast guard)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Academic skills (i.e. reading, writing, math),Organizational skills (i.e. time management, keeping a calendar)",Prefer not to say,Prefer not to say,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Several days,Not at all,Several days,Several days,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,21 to 25,Individual / Group Project Work,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)",Undecided,Yes,No,Yes,Yes,Yes,Yes,No,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"T/bus pass,School tuition,Clothes/shoes,Eating out,Vacation/trip",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,This does not apply to me,Most of the time,,,,,,,,,,,Female,Prefer not to say,Prefer not to say,Only my mother
No,I had an in-person job or internship,16 to 20,Technology / Computer Work,Somewhat well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,No,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)","Enroll at a 4 year college/university,Work part-time",Yes,No,Yes,Yes,Yes,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,"Communication skills (i.e. public speaking, writing emails),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Sometimes,This does not apply to me,This does not apply to me,Sometimes,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Sometimes,Several days,Not at all,Not at all,Several days,Male,White (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,No,No,Very Good,Yes,Yes,Yes,Yes,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)",Enroll at a 4 year college/university,Yes,No,No,Yes,Yes,Yes,No,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Clothes/shoes,I don't pay for any household bills",Most of the time,Sometimes,Sometimes,Sometimes,This does not apply to me,This does not apply to me,Most of the time,Sometimes,Never,Most of the time,Never,Never,Not applicable (N/A),Several days,Several days,Several days,Several days,Female,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had a mix of in-person and virtual/remote work,16 to 20,Individual / Group Project Work,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,,"Management: (e.g., CEO, director, manager),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),I don’t know","Enroll at a 4 year college/university,Work part-time",Yes,No,No,No,No,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I don't have a good idea how much I spend in things and I don't keep track of my overall spending,I don't pay for any household bills,Sometimes,This does not apply to me,This does not apply to me,Sometimes,Sometimes,This does not apply to me,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Nearly every day,More than half the days,Several days,Several days,Female,Black or African American (Not Hispanic or Latino),"Yes, other (please write in)",Only my mother
No,I had an in-person job or internship,26+,Health Care / Elder Care,Neither well nor poorly,Probably not,Somewhat supportive,Yes,Yes,No,No,Yes,No,Neither Good Nor Bad,No,No,No,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Work part-time",No,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Prefer not to say,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Utilities (gas/electric),School tuition,Clothes/shoes,Eating out,Entertainment,Vacation/trip",Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Spanish",Both of my parents
No,I had a mix of in-person and virtual/remote work,21 to 25,Office Work / Administrative Work,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Enroll at a 2 year community college",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Prefer not to say,I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,Other household bills",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
No,I had an in-person job or internship,16 to 20,Individual / Group Project Work,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Military: (e.g., army, navy, air force, marines, coast guard),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,No,Yes,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,School tuition,Clothes/shoes,Eating out,Entertainment,Vacation/trip",Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Not at all,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
